id,name,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4dn6rw5Ze1uWrLm1uOk1gu,Stockholm Sweetnin',spotify:track:4dn6rw5Ze1uWrLm1uOk1gu,"Scott Hamilton, Jesper Lundgaard, Jan Lundgren, Kristian Leth, ",0.838,0.602,475680,0.302,0.907,8,0.113,-11.627,1,0.0427,119.758,4,0.3
6CDQBADsdzJwc3qZ3OPDHH,Almost Like Being in Love,spotify:track:6CDQBADsdzJwc3qZ3OPDHH,"Red Garland, Paul Chambers, Art Taylor, ",0.873,0.571,290293,0.346,0.519,0,0.098,-12.569,0,0.0409,93.885,4,0.687
00CIFNT8kOm61dupysBFp8,Garden of Delight,spotify:track:00CIFNT8kOm61dupysBFp8,"Jan Lundgren Trio, ",0.876,0.427,291862,0.287,0.874,11,0.133,-19.834,1,0.0346,104.407,4,0.467
2z6D5bIA9Wprdqi1B8nnVh,New Orleans,spotify:track:2z6D5bIA9Wprdqi1B8nnVh,"Wynton Marsalis, ",0.714,0.644,340693,0.205,0.0482,10,0.051,-16.005,1,0.0397,118.314,4,0.411
1ykNjOQbYJgZE3pflVB9MN,The Sequel,spotify:track:1ykNjOQbYJgZE3pflVB9MN,"Wingspan, ",0.703,0.532,482360,0.364,0.618,9,0.0602,-13.068,0,0.0297,127.166,4,0.271
3MUYNYanSRUNJTJND4BW6Z,Sun Out,spotify:track:3MUYNYanSRUNJTJND4BW6Z,"Eric Reed, ",0.82,0.497,304413,0.365,0.803,7,0.0846,-14.489,0,0.0476,123.472,4,0.213
7jib7AfCM6wU5KjaA6Zt5d,Let's Call the Whole Thing Off,spotify:track:7jib7AfCM6wU5KjaA6Zt5d,"Seamus Blake, Chris Cheek, ",0.679,0.491,549040,0.303,0.0797,5,0.14,-13.365,0,0.0483,142.109,4,0.358
3IUX5LP1PJrneT8YRmZ3zY,Cantaloupe Island,spotify:track:3IUX5LP1PJrneT8YRmZ3zY,"Nat Adderley, ",0.754,0.616,438133,0.395,0.00223,0,0.0789,-16.249,0,0.0307,117.997,4,0.599
0YlOfF6acp4MSxlNxcslfo,Way 'Cross Town - Originally Performed By Carl Perkins,spotify:track:0YlOfF6acp4MSxlNxcslfo,"Benny Green, Kenny Washington, Peter Washington, ",0.706,0.515,251333,0.327,0.851,6,0.104,-15.817,1,0.0901,91.083,4,0.784
3dtrI8OOHWxMyg6EHNecdt,Gramercy Sunset,spotify:track:3dtrI8OOHWxMyg6EHNecdt,"The Hot Sardines, ",0.886,0.466,255107,0.0753,0.927,0,0.0984,-18.864,1,0.0297,87.791,4,0.0877
4f0D7T8yswXUJ62AKLoMtS,One For Daddy-O,spotify:track:4f0D7T8yswXUJ62AKLoMtS,"Cannonball Adderley, ",0.581,0.617,505453,0.434,0,5,0.131,-7.257,0,0.031,108.416,4,0.412
5BUzXFDINXfB3VDh1BkmzL,The Runaround,spotify:track:5BUzXFDINXfB3VDh1BkmzL,"Peter Edwards Trio, ",0.487,0.539,233023,0.305,0.846,6,0.105,-16.701,1,0.055,127.807,4,0.692
44IDFP9CwgB7tj2HEyY4Zi,Have You Met Miss Jones,spotify:track:44IDFP9CwgB7tj2HEyY4Zi,"Kenny Garrett Quintet, Mulgrew Miller, Tony Reedus, Nat Reeves, Woody Shaw, ",0.484,0.604,557067,0.237,0.492,5,0.0726,-19.828,1,0.0384,130.248,4,0.43
6OYVeWlKICv4I70RM1yHUC,Sandu,spotify:track:6OYVeWlKICv4I70RM1yHUC,"Clifford Brown, Max Roach Quintet, ",0.651,0.686,297040,0.439,0.167,8,0.102,-9.304,1,0.0546,136.452,4,0.529
7lDhAXTGe5LO9xSbq56t0K,Nice Work If You Can Get It,spotify:track:7lDhAXTGe5LO9xSbq56t0K,"Marcus Roberts, ",0.671,0.482,283667,0.237,0.914,8,0.099,-21.34,1,0.104,202.3,4,0.681
4lsoraogx0H5pMYMQe9FyO,A Touch Of Silver,spotify:track:4lsoraogx0H5pMYMQe9FyO,"Nicholas Payton, ",0.845,0.515,313560,0.519,0.696,7,0.102,-9.631,1,0.0391,128.346,4,0.343
34oMi39G5RYgaCPwRNJ7OU,They Didn't Believe Me,spotify:track:34oMi39G5RYgaCPwRNJ7OU,"Beegie Adair, ",0.839,0.583,209333,0.233,0.816,8,0.139,-15.529,1,0.0354,135.308,4,0.513
48Q8ER4XOaE4r00bjRxT9r,Begin The Beguine - Alternate Take,spotify:track:48Q8ER4XOaE4r00bjRxT9r,"Art Pepper, ",0.83,0.51,375173,0.398,0.14,8,0.149,-12.411,1,0.0718,181.695,4,0.709
6geba7EiMvkWk7h2XWzjb8,Cambridge Place,spotify:track:6geba7EiMvkWk7h2XWzjb8,"Danny Grissett, Vicente Archer, Kendrick Scott, ",0.757,0.451,423520,0.441,0.811,8,0.0871,-14.813,1,0.0353,77.381,4,0.588
2uiTBklIqGQhPYdlUGvPl3,Mojo,spotify:track:2uiTBklIqGQhPYdlUGvPl3,"Booker Ervin, ",0.64,0.477,477693,0.301,0.0000063,7,0.0881,-15.635,1,0.0351,174.859,4,0.52
5lRBU0r21BO0TMmUe73Ysj,The Outlaw (Rudy Van Gelder Edition) [2007 - Remastered],spotify:track:5lRBU0r21BO0TMmUe73Ysj,"Horace Silver Quintet, ",0.709,0.548,367880,0.483,0.314,5,0.32,-12.246,1,0.035,104.35,4,0.744
0aEcArQsqTpErHdixEVaHj,Killer Joe,spotify:track:0aEcArQsqTpErHdixEVaHj,"Benny Golson, ",0.793,0.532,413427,0.369,0.00609,5,0.0819,-10.255,1,0.0407,120.192,4,0.233
2BhU0Hl5OatWiCW93pE2b8,Remember - 1999 Digital Remaster,spotify:track:2BhU0Hl5OatWiCW93pE2b8,"Hank Mobley, ",0.794,0.539,342333,0.403,0.000613,8,0.278,-9.168,1,0.0531,165.301,4,0.688
3gPr9tbx4jSM0nS6O9J5UZ,Blues for Sharpie,spotify:track:3gPr9tbx4jSM0nS6O9J5UZ,"David Hazeltine, ",0.624,0.493,329653,0.283,0.109,2,0.117,-17.36,1,0.0316,73.745,4,0.394
77q37gyYNb25EzIkpMic11,Smoke Stack - 1999 Digital Remaster,spotify:track:77q37gyYNb25EzIkpMic11,"Johnny Griffin, ",0.602,0.498,660376,0.739,0.00044,5,0.192,-7.167,1,0.0587,109.691,4,0.836
