id,name,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
3XIIOCu6B8PuGq5j61asEM,The Greatest,spotify:track:3XIIOCu6B8PuGq5j61asEM,"Sia, Kendrick Lamar, ",0.0109,0.666,210893,0.723,0.00047,1,0.0507,-6.164,1,0.268,192.024,4,0.731
1vvNmPOiUuyCbgWmtc6yfm,My Way,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,"Calvin Harris, ",0.0935,0.819,219160,0.913,0.0000372,4,0.161,-3.059,0,0.0427,119.989,4,0.523
7BKLCZ1jbUBVqRi2FVlTVw,Closer,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey, ",0.414,0.748,244960,0.524,0,8,0.111,-5.599,1,0.0338,95.01,4,0.635
1mSlftOO1dlDRXAyOE0Sbd,Treat You Better,spotify:track:1mSlftOO1dlDRXAyOE0Sbd,"Shawn Mendes, ",0.128,0.448,187973,0.817,0,10,0.105,-4.069,0,0.386,83.015,4,0.718
4Ce37cRWvM1vIGGynKcs22,Starving,spotify:track:4Ce37cRWvM1vIGGynKcs22,"Hailee Steinfeld, Grey, Zedd, ",0.39,0.712,181880,0.62,0,4,0.0994,-4.187,1,0.0888,99.953,4,0.519
4nA0biSjtvOL41Hd9MBXqR,Ain't My Fault,spotify:track:4nA0biSjtvOL41Hd9MBXqR,"Zara Larsson, ",0.00778,0.576,224031,0.782,0,6,0.285,-4.825,0,0.0296,141.153,4,0.353
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,spotify:track:0azC730Exh71aQlOt9Zj3y,"Calvin Harris, Rihanna, ",0.199,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.46
4dASQiO1Eoo3RJvt74FtXB,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",spotify:track:4dASQiO1Eoo3RJvt74FtXB,"Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic, Ty Dolla $ign, X Ambassadors, ",0.255,0.502,243491,0.786,0,9,0.65,-4.378,0,0.317,169.021,4,0.734
5GQBDz6S6KuurT5GXFtfiV,Come First,spotify:track:5GQBDz6S6KuurT5GXFtfiV,"Terror Jr, ",0.123,0.749,171789,0.198,0.000451,5,0.0866,-11.747,1,0.323,95.084,4,0.366
2meEiZKWkiN28gITzFwQo5,Into You,spotify:track:2meEiZKWkiN28gITzFwQo5,"Ariana Grande, ",0.0153,0.636,244453,0.728,0.00000146,9,0.154,-5.871,1,0.0999,107.986,4,0.384
7zsXy7vlHdItvUSH8EwQss,Cold Water,spotify:track:7zsXy7vlHdItvUSH8EwQss,"Major Lazer, Justin Bieber, MØ, ",0.055,0.602,185360,0.797,0,6,0.187,-5.084,0,0.0534,92.928,4,0.487
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,spotify:track:23L5CiUhw2jV1OIMwthR3S,"Martin Garrix, Bebe Rexha, ",0.109,0.501,195707,0.519,0,4,0.454,-5.88,0,0.0409,133.99,4,0.157
66dMATdBD3yBL8RjoGVuxf,Perfect Illusion,spotify:track:66dMATdBD3yBL8RjoGVuxf,"Lady Gaga, ",0.00163,0.615,181507,0.854,0,1,0.358,-5.478,0,0.0388,124.992,4,0.672
1pKeFVVUOPjFsOABub0OaV,Side To Side,spotify:track:1pKeFVVUOPjFsOABub0OaV,"Ariana Grande, Nicki Minaj, ",0.0373,0.65,226160,0.728,0,6,0.328,-5.914,0,0.232,159.167,4,0.624
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake, Justin Bieber, ",0.0771,0.652,205947,0.713,0.0000102,8,0.144,-5.311,1,0.0368,100.023,4,0.147
0qRZ9ydGdzeVk3S01pLGoJ,You & Me,spotify:track:0qRZ9ydGdzeVk3S01pLGoJ,"Marc E. Bassy, G-Eazy, ",0.0362,0.687,218480,0.645,0,1,0.201,-8.38,1,0.19,84.925,4,0.628
4qqArAiTPueDxIp7cf87h7,Final Song,spotify:track:4qqArAiTPueDxIp7cf87h7,"MØ, ",0.014,0.695,235827,0.672,0.0000844,1,0.0756,-6.109,0,0.0345,104.988,4,0.272
0ckCyt1ghA2YpcLRm1q68s,In My Mind,spotify:track:0ckCyt1ghA2YpcLRm1q68s,"Maty Noyes, ",0.461,0.764,212027,0.631,0,0,0.0413,-3.814,0,0.0251,102.074,4,0.769
6i0V12jOa3mr6uu4WYhUBr,Heathens,spotify:track:6i0V12jOa3mr6uu4WYhUBr,"Twenty One Pilots, ",0.0841,0.732,195920,0.396,0.0000358,4,0.105,-9.348,0,0.0286,90.024,4,0.547
0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,spotify:track:0prNGof3XqfTvNDxHonvdK,"Alessia Cara, ",0.0294,0.591,230227,0.741,0,0,0.11,-5.751,1,0.139,97.048,4,0.439
72xvRETEsd5hS1RfduciRi,Let Me Hold You (Turn Me On),spotify:track:72xvRETEsd5hS1RfduciRi,"Cheat Codes, Dante Klein, ",0.0992,0.681,162425,0.774,0,1,0.35,-3.167,0,0.0787,102.924,4,0.289
3xeHFCZZvMGVK0LrJld3Yb,Slumber Party,spotify:track:3xeHFCZZvMGVK0LrJld3Yb,"Britney Spears, ",0.208,0.728,214080,0.767,0,9,0.0795,-7.022,0,0.0679,135.025,4,0.472
7fJtPlEZKxu6gvkfBFc5tW,Too Good,spotify:track:7fJtPlEZKxu6gvkfBFc5tW,"Drake, Rihanna, ",0.0606,0.804,263373,0.65,0.0000705,7,0.102,-7.79,1,0.118,117.984,4,0.391
6vJ0Fezf6Etha2C4H21FKO,Cool Girl,spotify:track:6vJ0Fezf6Etha2C4H21FKO,"Tove Lo, ",0.351,0.667,197816,0.72,0.00000426,9,0.138,-7.026,0,0.11,101.964,4,0.249
4NFoWbS7vtaeB2h4DexoFk,Millionaire (feat. Nelly) - Alan Walker Remix,spotify:track:4NFoWbS7vtaeB2h4DexoFk,"Cash Cash, Digital Farm Animals, Nelly, Alan Walker, ",0.0186,0.602,189338,0.807,0,5,0.148,-4.577,1,0.0545,96.044,4,0.453
1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,"Jonas Blue, JP Cooper, ",0.372,0.742,196613,0.819,0,1,0.277,-5.307,1,0.0487,117.986,4,0.697
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,"The Chainsmokers, Daya, ",0.157,0.532,208373,0.869,0.00508,11,0.136,-5.094,1,0.172,159.803,4,0.419
4qH3RkbFgzxYyXUD8YC8kr,Capsize,spotify:track:4qH3RkbFgzxYyXUD8YC8kr,"FRENSHIP, Emily Warren, ",0.042,0.681,237581,0.708,0.14,5,0.676,-6.019,0,0.0304,92.993,4,0.359
6s3GEN8wK0OMzzzZbXj0fu,Hymn For The Weekend - Seeb Remix,spotify:track:6s3GEN8wK0OMzzzZbXj0fu,"Coldplay, Seeb, ",0.00868,0.565,212647,0.849,0.00000468,0,0.12,-3.516,0,0.0517,102.034,4,0.43
52wTKeWYVIAtSESw0haRB1,LUV,spotify:track:52wTKeWYVIAtSESw0haRB1,"Tory Lanez, ",0.0121,0.524,228027,0.505,0.00000128,11,0.225,-8.256,0,0.275,189.978,4,0.3
7xsktt3inEVSrjzPg5S0ce,CRZY,spotify:track:7xsktt3inEVSrjzPg5S0ce,"Kehlani, ",0.209,0.824,191720,0.711,0.0000414,6,0.144,-7.279,1,0.222,130.027,4,0.659
1KqquoEp6nWY1s46lwFoTF,Still Falling For You - Jonas Blue Remix,spotify:track:1KqquoEp6nWY1s46lwFoTF,"Ellie Goulding, ",0.321,0.678,188053,0.748,0,1,0.305,-7.626,1,0.0436,123.009,4,0.524
