id,name,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2vr6fjMZm1pliQ3a6HL8MT,La Clairière,spotify:track:2vr6fjMZm1pliQ3a6HL8MT,"Piano Novel, ",0.985,0.346,141023,0.0644,0.893,3,0.17,-22.683,1,0.0431,126.717,3,0.121
07Hk13m0dIGWhGr9B4yEsJ,Etude,spotify:track:07Hk13m0dIGWhGr9B4yEsJ,"Joep Beving, ",0.996,0.403,275040,0.0122,0.887,9,0.0751,-27.733,0,0.0405,112.556,4,0.239
1gVXTJVSekOTCH8hhibcqi,Vladimir's Blues,spotify:track:1gVXTJVSekOTCH8hhibcqi,"Max Richter, ",0.995,0.393,78547,0.17,0.854,9,0.105,-21.919,1,0.0692,115.227,3,0.0701
3aLof1zmaQ0GLcAc9YQ3Fq,Nuvole bianche,spotify:track:3aLof1zmaQ0GLcAc9YQ3Fq,"Ludovico Einaudi, ",0.956,0.177,357707,0.06,0.848,8,0.103,-25.377,1,0.0574,136.248,1,0.0521
645kj2wJDlXW7Wnx5N9WCq,Saltare (Somewhere at the Baltic Sea),spotify:track:645kj2wJDlXW7Wnx5N9WCq,"Dirk Maassen, ",0.992,0.386,257110,0.0949,0.931,9,0.0859,-20.617,0,0.0733,68.612,3,0.107
5Xec942T0BcXnrIqPL9NHW,Il,spotify:track:5Xec942T0BcXnrIqPL9NHW,"Jean-Michel Blais, ",0.982,0.289,125750,0.378,0.856,4,0.128,-13.447,1,0.0336,106.265,5,0.289
6HJovBuWj41I2jL94QpVj5,Hers,spotify:track:6HJovBuWj41I2jL94QpVj5,"The Arcadian Wild, ",0.971,0.302,161750,0.187,0.898,8,0.118,-18.961,1,0.0579,132.937,4,0.0969
0gQiiQnqlY45tRn6AAh8Hj,Interlude For Piano,spotify:track:0gQiiQnqlY45tRn6AAh8Hj,"Peter Bradley Adams, ",0.973,0.218,115547,0.00993,0.922,2,0.0602,-28.235,1,0.0424,68.65,5,0.158
4RuYDrJ4a2ybcEVkSy1xFB,Rays of Hope,spotify:track:4RuYDrJ4a2ybcEVkSy1xFB,"Oneke, ",0.991,0.222,121045,0.0584,0.946,2,0.1,-22.44,0,0.0322,143.786,3,0.0533
61RAuOOiUCFbjPk4pjFnxz,Cascade,spotify:track:61RAuOOiUCFbjPk4pjFnxz,"Goldmund, ",0.942,0.324,158962,0.0323,0.892,11,0.11,-28.388,0,0.0412,124.917,4,0.162
2C9AXrdWbRl1qd7z5oLRgm,River Running,spotify:track:2C9AXrdWbRl1qd7z5oLRgm,"Grobert, ",0.988,0.433,221562,0.205,0.887,7,0.0909,-14.938,1,0.0608,69.435,4,0.137
4MFKi6VzidmH1V6TX86ihS,Intro,spotify:track:4MFKi6VzidmH1V6TX86ihS,"Black Elk, ",0.989,0.399,98000,0.267,0.924,5,0.118,-19.636,0,0.0435,111.425,1,0.17
02BumRY2OTFMkMxrXSVMat,A Game of Badminton,spotify:track:02BumRY2OTFMkMxrXSVMat,"Dario Marianelli, Jack Liebeck, Benjamin Wallfisch, ",0.994,0.375,58387,0.00406,0.908,7,0.0842,-31.824,0,0.0671,139.682,1,0.335
23IhmwOyEMpH7fPU8H6pZz,A Sky Full of Flowers,spotify:track:23IhmwOyEMpH7fPU8H6pZz,"Jeff Bright Jr, ",0.99,0.324,218692,0.0645,0.929,6,0.19,-26.821,1,0.0436,101.942,4,0.0394
2Ua2U7enh9ErAF6DaJh4hg,Only Questions,spotify:track:2Ua2U7enh9ErAF6DaJh4hg,"Max Richter, ",0.994,0.38,77418,0.0089,0.891,6,0.0961,-33.388,0,0.0491,71.024,4,0.0755
4ponbmD53QAmxjHyXCHDFo,Improv #10 - One Last Thought,spotify:track:4ponbmD53QAmxjHyXCHDFo,"The Daydream Club, ",0.994,0.452,167000,0.0669,0.914,9,0.0966,-19.454,0,0.0388,74.852,1,0.192
22bk8cz4FrIpxR166zmXFk,Tokka,spotify:track:22bk8cz4FrIpxR166zmXFk,"Agnes Obel, ",0.993,0.568,89520,0.181,0.935,6,0.103,-19.451,0,0.0283,85.892,4,0.376
0sDqqcELNvGWI5u8mBxESD,Awakening,spotify:track:0sDqqcELNvGWI5u8mBxESD,"Otto Wahl, ",0.995,0.429,180774,0.0541,0.928,10,0.114,-26.759,0,0.0411,122.311,1,0.0583
65ncpfpqS6d0oF9UaIbvBn,Wanderlust,spotify:track:65ncpfpqS6d0oF9UaIbvBn,"Joep Beving, ",0.995,0.313,343387,0.0368,0.902,2,0.0877,-26.294,0,0.0395,130.213,4,0.107
